class,image_1,image_2,phash_distance,ssim
Class_14_kachuripana,image_1012.jpg,image_1051.jpg,0,0.999372790530812
Class_14_kachuripana,image_1013.jpg,image_1052.jpg,0,0.9991928070634707
Class_14_kachuripana,image_1014.jpg,image_1054.jpg,0,0.9990752139823408
Class_5_water_popy,image_312.jpg,image_357.jpg,0,0.9990357299462241
Class_5_water_popy,image_313.jpg,image_337.jpg,4,0.07907934844217697
Class_5_water_popy,image_313.jpg,image_347.jpg,4,0.0786652076190935
Class_5_water_popy,image_314.jpg,image_338.jpg,4,0.11340922515830135
Class_5_water_popy,image_322.jpg,image_356.jpg,0,0.99889209991654
Class_5_water_popy,image_323.jpg,image_352.jpg,0,0.9993026732356233
Class_5_water_popy,image_324.jpg,image_353.jpg,0,0.9992136976395785
Class_5_water_popy,image_325.jpg,image_355.jpg,0,0.9990705405808408
Class_5_water_popy,image_333.jpg,image_348.jpg,0,0.9994106873065394
Class_5_water_popy,image_334.jpg,image_349.jpg,2,0.9993628160481308
Class_5_water_popy,image_335.jpg,image_341.jpg,2,0.22456731564220686
Class_5_water_popy,image_335.jpg,image_344.jpg,0,0.9993679378422984
Class_5_water_popy,image_336.jpg,image_345.jpg,0,0.9992486306480942
Class_5_water_popy,image_337.jpg,image_347.jpg,0,0.9995068855370325
Class_5_water_popy,image_341.jpg,image_344.jpg,2,0.22346117486985048
Class_5_water_popy,image_343.jpg,image_350.jpg,4,0.32085096493648824
Class_5_water_popy,image_359.jpg,image_366.jpg,0,0.32084380846273924
Class_5_water_popy,image_361.jpg,image_368.jpg,2,0.07958155279503784
Class_5_water_popy,image_363.jpg,image_370.jpg,4,0.20391075816906576
Class_5_water_popy,image_364.jpg,image_371.jpg,4,0.17054592500663826
Class_5_water_popy,image_365.jpg,image_372.jpg,4,0.22239303890478523
Class_6_salvania,image_413.jpg,image_435.jpg,0,0.9993819256405313
Class_6_salvania,image_414.jpg,image_436.jpg,0,0.9995007081385882
Class_6_salvania,image_415.jpg,image_437.jpg,0,0.9993168531380128
Class_6_salvania,image_416.jpg,image_438.jpg,0,0.9992911295857748
Class_6_salvania,image_418.jpg,image_434.jpg,2,0.9996727336541676
Class_6_salvania,image_425.jpg,image_457.jpg,0,0.9994590545094706
Class_6_salvania,image_426.jpg,image_458.jpg,0,0.9996525766699944
Class_6_salvania,image_427.jpg,image_459.jpg,2,0.9991123618368001
Class_6_salvania,image_428.jpg,image_460.jpg,0,0.999282963562632
Class_6_salvania,image_430.jpg,image_456.jpg,0,0.9996722576736875
Class_7_chinese_water_spinach,image_473.jpg,image_479.jpg,4,0.14469535452278282
Class_7_chinese_water_spinach,image_474.jpg,image_515.jpg,0,0.9992761190902062
Class_7_chinese_water_spinach,image_475.jpg,image_481.jpg,4,0.11282118868121101
Class_7_chinese_water_spinach,image_475.jpg,image_516.jpg,0,0.9991949245307488
Class_7_chinese_water_spinach,image_476.jpg,image_482.jpg,4,0.03407270019561884
Class_7_chinese_water_spinach,image_476.jpg,image_518.jpg,0,0.9996444252994432
Class_7_chinese_water_spinach,image_481.jpg,image_516.jpg,4,0.11223204016973175
Class_7_chinese_water_spinach,image_482.jpg,image_518.jpg,4,0.03396745680470439
Class_7_chinese_water_spinach,image_484.jpg,image_525.jpg,0,0.9996621630621585
Class_7_chinese_water_spinach,image_486.jpg,image_521.jpg,0,0.9994468771304791
Class_7_chinese_water_spinach,image_487.jpg,image_522.jpg,0,0.9991476371398529
Class_7_chinese_water_spinach,image_488.jpg,image_524.jpg,0,0.9995111190568189
Class_7_chinese_water_spinach,image_514.jpg,image_519.jpg,4,0.17329846973074614
Class_9_mexican_sword_lily,image_611.jpg,image_679.jpg,0,0.9993777182063255
Class_9_mexican_sword_lily,image_613.jpg,image_675.jpg,0,0.9992433222014084
Class_9_mexican_sword_lily,image_614.jpg,image_676.jpg,0,0.9989196079420459
Class_9_mexican_sword_lily,image_615.jpg,image_678.jpg,0,0.9993436053616376
